0	(나무를 깎은 장식 기둥이다)
1	4번 발굴소에서 연락!
2	이 마을도 이런 꼴을
3	시커 마을에 잘 오셨습니다
4	세계를 사람 손에 되돌릴 건,
5	몇 번이든 재건한다
6	태초의 황혼,\n사람은 다투기 시작했다.\n어둠을 모르는 자는 황혼이 두려워\n마음 흐트러져 서로 죽였다
7	파란 기둥 둘이 표식이라던데
8	<!87>명령이 났다
9	앞의 3개는 미세 조정에 쓰고\n뒤의 2개는 뒤에 설명할 「<03>\n타입<03>
10	쓸데없이 캐묻지 마라,
11	내일 아침 떠난다
12	(쓰러뜨릴 방법이 따로 있나)
13	<!EC> 생물이라
14	…그리 되길 바라네
15	…빠질 굴?
16	당신을 본 적 있는 느낌이야
17	이 마을은 싫어…
18	우리 손으론 안 된다!
19	모든 건 지금 나와 함께…
20	북쪽 안 출구
21	좌현 적함 확인
22	그리 여기게 두지만
23	영화롭던 문명이 망한 지 수천 년
24	교전 중,지원군 요청
25	푸른 옥
26	20Dn 냄
27	중산탄포 출력 상승
28	(어느 것이나 많이 쓴 티군)
29	(방금 그 소리… 머릿속에 울렸다)
30	(멀리 갈 때 쓰는 물통이다)
31	(머릿속에 직접 울리는… 느낌이다)
32	10Dn 냄
33	여기까지가 끝
34	그리 됐을 것이다
35	이 지나는 길
36	조아의 숲이 변한 꼴이다…
37	조아숲 진입
38	조아거리 진입
39	나은 편이지
40	길을 내려가면
41	모든 게 짜여 있었어
42	우현 적함 확인
43	탑을 둘러싼 큰 싸움이
44	탑을 둘러싼 싸움
45	제국 군인 수칙
46	제국군 공중함대 주둔지 진입
47	탄두신관 작동
48	어리석은 놈… 난 미끼일 뿐…
49	빠질 굴이라니?
50	침몰선 밑 숨은 굴
51	황제포,다음 탄 장전!
52	교회 길
53	(내용물도 다른 걸까?)
54	방금 건…
55	깎는다
56	각 함의 건투를 빈다
57	발굴소 주변
58	공중선으로 탈출했거든
59	설명 끝
60	(당장이라도 나갈 수 있을 것 같은데)
61	(동료한테 돌아간 걸까)
62	(아무 일도 없다…)
63	(공성생물 퇴치 향석)
64	(열매와 씨앗이 든 바구니다)
65	(상자 속은 옷가지인 듯하다)
66	(도구 상자 속이 바닥에 널렸다)
67	057AD 등장2
68	10000Dn에 팜
69	118거리 소멸
70	500Dn에 삼
71	800Dn에 삼
72	9000Dn에 팜
73	<03>\n특0호 분진탄<03>
74	<1F> 연속공격
75	BP 조금 회복
76	오히려 당신이야말로…
77	여기는 옛날,
78	지금부터 요격전에 들어간다
79	할 수밖에!)
80	그걸 누르면 움직인다
81	그저 살육 병기일 뿐
82	할 수 있을 거다
83	어느 쪽이든 같다
84	어째서 드래곤을 다루지
85	인 건
86	주위를 한 바퀴 돈다
87	울 진입
88	클레이멘 이 자식
89	조아숲 중보스A 약화
90	조아숲 중보스B 약화
91	조아숲 중보스C 약화
92	조아숲 중보스D 약화
93	조아숲 중보스E 약화
94	조아숲 중보스F 약화
95	조아숲 중보스G 약화
96	조아숲 중보스H 약화
97	헌터 일은 늘 목숨을 걸어야 해…
98	ン 이야기
99	세계를 사람 손에 되돌리려 했다
100	사람들을 환희케 했다
101	체력회복액
102	신호탄 발사 지점 부근
103	몸은 좀 어때？
104	남부 수몰유적군 출구
105	각 기체,초계를 게을리 마라
106	각 부대는 뒤를 따르라
107	지하2층 게이트
108	탑과 동조하는 특별 제작품
109	여자가 있었다
110	그놈은 아직 안 죽었다
111	그놈은 쏜 방향으로 꼭 반격해 온다
112	그놈은 등이 약점이다！ 잘 노려라！
113	그놈은 더러운 배신자다！
114	그놈들은 둥지를 안 떠난다
115	그놈들은 계곡을 따라… 북으로 간다…
116	실은 말이지…
117	실을 말하자면…
118	대공요격 준비 완료
119	좌현 호위함대 궤멸
120	제국처럼 구세기의 힘을 손에 넣었다
121	제국군의 마지막 패,
122	그들이 손에 넣은 힘
123	아들을 응석받이로 키울 맘은 없지만…
124	정보를 전할 방법을 안다
125	공성생물 막는 바람그물인가!
126	교회 열쇠
127	수천 년간 있던 곳이다
128	빨리 떨어뜨려!
129	숲의 불은 당분간 안 꺼질 거다
130	기총 난사
131	기총 소사
132	다음 작전으로 간다
133	영원히 말이야
134	진흙
135	협곡지대에서 싸웠다.\n등을 보이지 않는 한 덤벼\n오지 않고 움직임도 느리다.\n방심만 안 하면 확실히\n쓰러뜨릴 수 있는 적이다
136	협곡지대 진입
137	활주 레일 부상,긴급 발진 완료
138	폭포 뒤 굴
139	현재장착중
140	그저 살려지고 있을 뿐
141	목적지 4번 발굴소까지 30분
142	화살촉
143	금지구역 진입
144	나한테 고마워 마라
145	설 수 있나?
146	자신이 살았다는 증거로
147	마을을 떠난다고?
148	요격기 발진 완료
149	도망칠 수 없을 듯해…
150	연장식 경폭뢰
151	중산탄포 충전 완료,출력 개방
152	바늘천개
153	방울
154	뇌운소환
155	파란 문이 표식이야
156	비늘가루
157	：가까울수록 위력大\n<03>\nSPIRITUAL계<03>
158	이야기 그만
159	바이만의 집 가는 길
160	통로 가는 길
161	밖에 나감
162	안에 들어감
163	탑 이야기
164	요
165	으로 설정
166	네
167	밤까지 기다림
168	아침까지 기다림
169	(기둥에 선반이 있다)
170	<16>남음
171	<!E0>14층 동
172	몸통박치기
173	레
174	코
175	알았다
176	(묘하게 차림새 좋은 놈이다…)
177	울 북쪽 안
178	치 내부
179	화염분사
